version,block,exp,id,sentence,cond,gender,structure,phonot_freq,lex_freq,figurativeness,target,distractor,noun,noun_transparency,subject_antecedent,object_antecedent,sentence_wav,pictureA_i,pictureA,pictureB_i,pictureB,CorrectPicture,SubjectBias,RespAllowedTime,StartSentence,onsetQue,onsetDet,onsetN,onsetTarget,offsetTarget,iOffset1,iOffsetN,iOnsetTarget,iOffsetTarget,sOffset1,sOnsetV1,sOnsetC2,sOnsetC3,sOnsetV2,sOffsetTarget,AonsetS,AoffsetS,AonsetO,AoffsetO,AonsetPN,AonsetAux,AonsetGerund,AonsetTarget,AoffsetTarget,end_sentence
NA,NA,NA,PA_C3,"Mientras el escultor llama al traductor, está elaborando un diccionario en el despacho",NA,NA,NA,NA,NA,NA,diccionario,monumento,NA,NA,escultor,traductor,PA_C3.wav,monumento,PAsubj.bmp,diccionario,PAobj.bmp,PAobj.bmp,PAsubj.bmp,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,PD_C4,Dice que la mochila rayada contiene nuestras cosas. ,NA,NA,d+n+adj,NA,NA,NA,rayada,rayado,mochila,transp,NA,NA,PD_C4.wav,rayada,PDfem.bmp,rayado,PDmasc.bmp,PDfem.bmp,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,PI_C1,El cirujano trató de vida o muerte la operación,NA,NA,NA,NA,NA,fig,tiempo,muerte,NA,NA,NA,NA,PI_C1.wav,muerte,PImuerte.bmp,tiempo,PItiempo.bmp,PImuerte.bmp,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,PS_C2,El dueño mezcló las bebidas,NA,NA,NA,NA,NA,NA,mezcló,mezcla,NA,NA,NA,NA,PS_C2.wav,mezcló,PSmezclo.bmp,mezcla,PSmezcla.bmp,PSmezclo.bmp,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,stress,S01_C1,El agente corta los materiales,1,NA,NA,1.3503,5696,NA,corta,cortó,NA,NA,NA,NA,S01_C1.wav,corta,S01corta.bmp,cortó,S01corto.bmp,S01corta.bmp,NA,0.743282165,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743282165,0.865285741,0.964590978,1.071708644,1.086669907,1.154359599,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.296565786
2,1,stress,S01_C2,El agente cortó los materiales,2,NA,NA,1.2971,1427,NA,cortó,corta,NA,NA,NA,NA,S01_C2.wav,cortó,S01corto.bmp,corta,S01corta.bmp,S01corto.bmp,NA,0.75049633,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75049633,0.851616034,0.933547049,1.0927004,1.10164689,1.214184319,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36708891
2,1,stress,S02_C1,El alumno pinta su cuaderno,1,NA,NA,1.4582,1624,NA,pinta,pinto,NA,NA,NA,NA,S02_C1.wav,pinta,S02pinta.bmp,pinto,S02pinto.bmp,S02pinta.bmp,NA,0.69278501,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69278501,0.792259268,0.893193816,1.002203128,1.020554864,1.072673795,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.879443043
1,1,stress,S02_C2,El alumno pintó su cuaderno,2,NA,NA,1.405,679,NA,pintó,pinta,NA,NA,NA,NA,S02_C2.wav,pintó,S02pinto.bmp,pinta,S02pinta.bmp,S02pinto.bmp,NA,0.694861537,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694861537,0.786543127,0.865835314,0.990720508,1.005587793,1.094295927,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.908763265
1,2,stress,S03_C1,El científico firma la patente,1,NA,NA,1.274,9124,NA,firma,firmó,NA,NA,NA,NA,S03_C1.wav,firma,S03firma.bmp,firmó,S03firmo.bmp,S03firma.bmp,NA,0.930025652,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.930025652,1.042806351,1.135464353,1.184601172,1.274451356,1.336223357,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.157161935
2,2,stress,S03_C2,El científico firmó la patente,2,NA,NA,1.2207,2227,NA,firmó,firma,NA,NA,NA,NA,S03_C2.wav,firmó,S03firmo.bmp,firma,S03firma.bmp,S03firmo.bmp,NA,0.931034903,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931034903,1.023303306,1.107774379,1.142212586,1.225384105,1.307256068,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.165501158
