soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
S01_C1, 11, 0, 2.30, 2.30, 4.79, 4.79, 0.209
S02_C1, 11, 0, 1.88, 1.88, 5.85, 5.85, 0.171
S02_C2, 10, 0, 1.91, 1.91, 5.24, 5.24, 0.191
S03_C1, 10, 0, 2.16, 2.16, 4.63, 4.63, 0.216
S03_C2, 10, 0, 2.17, 2.17, 4.62, 4.62, 0.217
S04_C1, 7, 0, 2.15, 2.15, 3.25, 3.25, 0.308
S04_C2, 9, 0, 2.30, 2.30, 3.92, 3.92, 0.255
S05_C1, 6, 0, 1.90, 1.90, 3.15, 3.15, 0.317
S05_C2, 9, 0, 1.62, 1.62, 5.55, 5.55, 0.180
S06_C1, 8, 0, 2.19, 2.19, 3.65, 3.65, 0.274
S06_C2, 11, 0, 2.32, 2.32, 4.74, 4.74, 0.211
S07_C1, 8, 0, 2.04, 2.04, 3.92, 3.92, 0.255
S07_C2, 7, 0, 1.90, 1.90, 3.68, 3.68, 0.271
S08_C1, 11, 0, 2.29, 2.29, 4.80, 4.80, 0.209
S08_C2, 9, 0, 2.39, 2.39, 3.77, 3.77, 0.265
S09_C1, 10, 0, 2.08, 2.08, 4.82, 4.82, 0.208
S09_C2, 8, 0, 1.90, 1.90, 4.21, 4.21, 0.237
S10_C1, 9, 0, 2.07, 2.07, 4.35, 4.35, 0.230
S10_C2, 8, 0, 1.84, 1.84, 4.36, 4.36, 0.230
S11_C1, 8, 0, 1.88, 1.88, 4.26, 4.26, 0.235
S11_C2, 7, 0, 1.93, 1.93, 3.64, 3.64, 0.275
S12_C1, 7, 0, 2.25, 2.25, 3.11, 3.11, 0.322
S12_C2, 11, 0, 2.31, 2.31, 4.76, 4.76, 0.210
S13_C1, 11, 0, 2.11, 2.11, 5.22, 5.22, 0.192
S13_C2, 9, 0, 2.15, 2.15, 4.18, 4.18, 0.239
S14_C1, 9, 0, 2.13, 2.13, 4.22, 4.22, 0.237
S14_C2, 9, 0, 2.19, 2.19, 4.11, 4.11, 0.243
S15_C1, 9, 0, 1.88, 1.88, 4.79, 4.79, 0.209
S15_C2, 8, 0, 1.74, 1.74, 4.60, 4.60, 0.217
S16_C1, 7, 0, 1.72, 1.72, 4.08, 4.08, 0.245
S16_C2, 9, 0, 1.77, 1.77, 5.10, 5.10, 0.196
